,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
995,3503,2007 - 13th Annual,MALE SUPPORTING ROLE,EDDIE MURPHY,DREAMGIRLS,True,True,Black
996,3504,2007 - 13th Annual,MALE SUPPORTING ROLE,JACKIE EARLE HALEY,LITTLE CHILDREN,False,True,White
997,3508,2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,THOMAS HADEN CHURCH,BROKEN TRAIL,False,True,White
998,3926,2005 - 11th Annual,MALE SUPPORTING ROLE,THOMAS HADEN CHURCH,SIDEWAYS,False,True,White
999,3511,2007 - 13th Annual,MALE TV MOVIE OR MINISERIES,MATTHEW PERRY,THE RON CLARK STORY,False,True,White
1000,3691,2006 - 12th Annual,FEMALE COMEDY SERIES,CANDICE BERGEN,BOSTON LEGAL,False,True,White
1001,5543,1996 - 2nd Annual,FEMALE COMEDY SERIES,CANDICE BERGEN,MURPHY BROWN,False,True,White
1002,5675,1995 - 1st Annual,FEMALE COMEDY SERIES,CANDICE BERGEN,MURPHY BROWN,False,True,White
1003,3693,2006 - 12th Annual,FEMALE COMEDY SERIES,PATRICIA HEATON,EVERYBODY LOVES RAYMOND,False,True,White
1004,3884,2005 - 11th Annual,FEMALE COMEDY SERIES,PATRICIA HEATON,EVERYBODY LOVES RAYMOND,False,True,White
1005,3903,2005 - 11th Annual,FEMALE TV MOVIE OR MINISERIES,PATRICIA HEATON,NEIL SIMON'S THE GOODBYE GIRL,False,True,White
1006,4051,2004 - 10th Annual,FEMALE COMEDY SERIES,PATRICIA HEATON,EVERYBODY LOVES RAYMOND,False,True,White
1007,4248,2003 - 9th Annual,FEMALE COMEDY SERIES,PATRICIA HEATON,EVERYBODY LOVES RAYMOND,False,True,White
